unix_sec,unix_ms,rel_sec,rel_ms,Delta_TP9,Delta_TP10,Delta_AF7,Delta_AF8,Theta_TP9,Theta_TP10,Theta_AF7,Theta_AF8,Alpha_TP9,Alpha_TP10,Alpha_AF7,Alpha_AF8,Beta_TP9,Beta_TP10,Beta_AF7,Beta_AF8,Gamma_TP9,Gamma_TP10,Gamma_AF7,Gamma_AF8
1758146975.952,1758146975952,15.254999876022339,15255,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.978,1758146975978,15.280999898910522,15281,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.978,1758146975978,15.280999898910522,15281,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.979,1758146975979,15.282000064849854,15282,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.98,1758146975980,15.282999992370605,15283,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.98,1758146975980,15.282999992370605,15283,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.981,1758146975981,15.283999919891357,15284,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.981,1758146975981,15.283999919891357,15284,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.982,1758146975982,15.285000085830688,15285,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.982,1758146975982,15.285000085830688,15285,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.983,1758146975983,15.28600001335144,15286,-0.14335568,0.242847,0.0,0.46205196,0.5814834,0.49542484,0.0,0.03303732,0.6602559,1.0195457,0.0,0.26231757,0.23576233,0.2164492,0.0,0.027177066,-0.254777,-0.16878486,0.0,-0.1650613
